Iterations; P1 Algorithm; P1 Parameters; P1 Wins %; P1 Avg Moves per Game; P1 Avg Time Mico. Secs; P1 Power in mJ; P1 Avg MTSC Nodes Explored; P1 Strategies; P2 Algorithm; P2 Parameters; P2 Wins %; P2 Avg Moves per Game; P2 Avg Time Mico. Secs; P2 Power in mJ; P2 Avg MTSC Nodes Explored; P2 Strategies; No of Draws; Why we doing this? What do we hope to see
1000;02 MCTS; 1000; 16.1; 14.004; 248342.088883; null; 4322.01;null; 02 MCTS+01 NAIVE; 1000; 83.0; 13.843; 419477.930806; null; 4243.002; [97, 37, 126, 78, -41]; 0.8999999999999999; null
Iterations; P1 Algorithm; P1 Parameters; P1 Wins %; P1 Avg Moves per Game; P1 Avg Time Mico. Secs; P1 Power in mJ; P1 Avg MTSC Nodes Explored; P1 Strategies; P2 Algorithm; P2 Parameters; P2 Wins %; P2 Avg Moves per Game; P2 Avg Time Mico. Secs; P2 Power in mJ; P2 Avg MTSC Nodes Explored; P2 Strategies; No of Draws; Why we doing this? What do we hope to see
1000;02 MCTS; 1000; 58.3; 11.94; 218911.899926; null; 3566.906;null; 02 MCTS+01 NAIVE; 100; 40.300000000000004; 11.357; 35677.335531000004; null; 409.084; [97, 37, 126, 78, -41]; 1.4000000000000001; null
Iterations; P1 Algorithm; P1 Parameters; P1 Wins %; P1 Avg Moves per Game; P1 Avg Time Mico. Secs; P1 Power in mJ; P1 Avg MTSC Nodes Explored; P1 Strategies; P2 Algorithm; P2 Parameters; P2 Wins %; P2 Avg Moves per Game; P2 Avg Time Mico. Secs; P2 Power in mJ; P2 Avg MTSC Nodes Explored; P2 Strategies; No of Draws; Why we doing this? What do we hope to see
1000;02 MCTS; 1000; 91.7; 9.976; 184961.381046; null; 3095.345;null; 02 MCTS+01 NAIVE; 10; 6.1; 9.059; 2718.215797; null; 30.94; [97, 37, 126, 78, -41]; 2.1999999999999997; null
Iterations; P1 Algorithm; P1 Parameters; P1 Wins %; P1 Avg Moves per Game; P1 Avg Time Mico. Secs; P1 Power in mJ; P1 Avg MTSC Nodes Explored; P1 Strategies; P2 Algorithm; P2 Parameters; P2 Wins %; P2 Avg Moves per Game; P2 Avg Time Mico. Secs; P2 Power in mJ; P2 Avg MTSC Nodes Explored; P2 Strategies; No of Draws; Why we doing this? What do we hope to see
1000;02 MCTS; 1000; 42.8; 13.273; 236063.568692; null; 3965.643;null; 02 MCTS+01 NAIVE; 150; 56.00000000000001; 12.845; 58489.482163; null; 649.9; [97, 37, 126, 78, -41]; 1.2; null
Iterations; P1 Algorithm; P1 Parameters; P1 Wins %; P1 Avg Moves per Game; P1 Avg Time Mico. Secs; P1 Power in mJ; P1 Avg MTSC Nodes Explored; P1 Strategies; P2 Algorithm; P2 Parameters; P2 Wins %; P2 Avg Moves per Game; P2 Avg Time Mico. Secs; P2 Power in mJ; P2 Avg MTSC Nodes Explored; P2 Strategies; No of Draws; Why we doing this? What do we hope to see
1000;02 MCTS; 1000; 9.1; 13.146; 245168.874294; null; 4123.591;null; 02 MCTS+01 NAIVE; 2000; 90.10000000000001; 13.055; 795286.787349; null; 7260.613; [97, 37, 126, 78, -41]; 0.8; null
Iterations; P1 Algorithm; P1 Parameters; P1 Wins %; P1 Avg Moves per Game; P1 Avg Time Mico. Secs; P1 Power in mJ; P1 Avg MTSC Nodes Explored; P1 Strategies; P2 Algorithm; P2 Parameters; P2 Wins %; P2 Avg Moves per Game; P2 Avg Time Mico. Secs; P2 Power in mJ; P2 Avg MTSC Nodes Explored; P2 Strategies; No of Draws; Why we doing this? What do we hope to see
1000;02 MCTS; 1000; 36.6; 13.718; 250815.095802; null; 4108.813;null; 02 MCTS+01 NAIVE; 200; 61.199999999999996; 13.352; 79414.89804; null; 815.102; [97, 37, 126, 78, -41]; 2.1999999999999997; null
Iterations; P1 Algorithm; P1 Parameters; P1 Wins %; P1 Avg Moves per Game; P1 Avg Time Mico. Secs; P1 Power in mJ; P1 Avg MTSC Nodes Explored; P1 Strategies; P2 Algorithm; P2 Parameters; P2 Wins %; P2 Avg Moves per Game; P2 Avg Time Mico. Secs; P2 Power in mJ; P2 Avg MTSC Nodes Explored; P2 Strategies; No of Draws; Why we doing this? What do we hope to see
