P1 wins, P2 wins, Draws, TOTAL TIME P1, TOTAL TIME P2, TOTAL MOVES, TOTAL MOVES P1, TOTAL MOVES P2
1, 0, 0, 3.31663577E8, 5.30049727E8, 33, 17, 16
0, 1, 0, 2.8106799E8, 5.1664039E8, 30, 15, 15
0, 1, 0, 3.10288533E8, 5.24737157E8, 36, 18, 18
0, 1, 0, 2.70597532E8, 4.35783623E8, 24, 12, 12
0, 1, 0, 1.80369864E8, 2.62571702E8, 16, 8, 8
0, 1, 0, 2.98349008E8, 5.28791501E8, 38, 19, 19
0, 1, 0, 3.22212772E8, 5.40454967E8, 36, 18, 18
0, 1, 0, 1.52294658E8, 2.27160301E8, 14, 7, 7
0, 1, 0, 2.31188944E8, 3.72559702E8, 22, 11, 11
0, 1, 0, 2.80333649E8, 4.80291776E8, 34, 17, 17
0, 1, 0, 2.50775082E8, 4.03740451E8, 26, 13, 13
1, 0, 0, 2.94154366E8, 5.36124988E8, 39, 20, 19
0, 1, 0, 3.13404512E8, 5.26461039E8, 38, 19, 19
0, 1, 0, 1.89445346E8, 3.10592198E8, 18, 9, 9
0, 1, 0, 3.41212541E8, 5.72855627E8, 36, 18, 18
0, 1, 0, 2.56331075E8, 4.61682454E8, 34, 17, 17
0, 1, 0, 2.27400493E8, 4.07009464E8, 24, 12, 12
0, 1, 0, 1.53737243E8, 2.38134216E8, 14, 7, 7
0, 1, 0, 1.87243022E8, 2.94502874E8, 18, 9, 9
0, 1, 0, 2.7801108E8, 4.74056297E8, 34, 17, 17
0, 1, 0, 2.07697012E8, 3.16843379E8, 20, 10, 10
1, 0, 0, 2.7308297E8, 3.9877941E8, 29, 15, 14
1, 0, 0, 2.96617675E8, 4.82889642E8, 35, 18, 17
0, 1, 0, 1.56981128E8, 2.30595338E8, 14, 7, 7
0, 1, 0, 2.70338722E8, 5.09232458E8, 36, 18, 18
0, 1, 0, 2.35816745E8, 4.22862844E8, 24, 12, 12
0, 1, 0, 2.10020372E8, 3.48277382E8, 22, 11, 11
0, 1, 0, 2.03808762E8, 3.34877724E8, 20, 10, 10
0, 1, 0, 1.56180731E8, 2.41788177E8, 16, 8, 8
0, 1, 0, 2.48748743E8, 4.03723568E8, 26, 13, 13
1, 0, 0, 2.74540611E8, 4.89931728E8, 33, 17, 16
0, 1, 0, 2.15835768E8, 3.49369309E8, 20, 10, 10
1, 0, 0, 3.06151469E8, 5.63162976E8, 39, 20, 19
0, 1, 0, 1.81338204E8, 3.00947539E8, 18, 9, 9
0, 1, 0, 1.97627198E8, 2.85556673E8, 18, 9, 9
0, 1, 0, 2.63554183E8, 4.7626312E8, 34, 17, 17
0, 1, 0, 3.03759655E8, 5.45990221E8, 38, 19, 19
0, 1, 0, 3.01210407E8, 5.99899356E8, 42, 21, 21
0, 1, 0, 3.11438668E8, 5.07801015E8, 36, 18, 18
0, 1, 0, 2.86693066E8, 5.04665316E8, 32, 16, 16
0, 1, 0, 1.6619677E8, 2.6169312E8, 16, 8, 8
0, 1, 0, 1.87453902E8, 2.90549414E8, 18, 9, 9
0, 1, 0, 2.41498821E8, 4.1060715E8, 24, 12, 12
0, 1, 0, 1.88818457E8, 2.97751171E8, 18, 9, 9
0, 1, 0, 2.15941658E8, 3.41096569E8, 20, 10, 10
0, 1, 0, 2.21520399E8, 3.93476164E8, 26, 13, 13
0, 1, 0, 2.8692199E8, 4.98488971E8, 38, 19, 19
0, 1, 0, 2.40938526E8, 4.65155601E8, 28, 14, 14
